Co_30_1_NT_0;1041;1.25039;164;23;104
Co_30_1_NT_1;1756;1.25028;168;132;184
Co_30_1_NT_2;2341;1.25023;365;76;148
Co_30_1_NT_3;2105;1.25018;324;179;105
Co_30_1_NT_4;1477;1.25024;168;196;109
Co_30_1_NT_5;2996;1.25025;230;235;168
Co_30_1_NT_6;1623;1.2502;190;80;194
Co_30_1_NT_7;1032;1.25022;216;143;62
Co_30_1_NT_8;2288;1.25027;284;263;117
Co_30_1_NT_9;1563;1.25024;184;145;129
Co_30_1_T_0;1105;1.25026;115;31;115
Co_30_1_T_1;1797;1.25022;85;148;201
Co_30_1_T_2;2437;1.25021;240;79;188
Co_30_1_T_3;2073;1.25025;374;136;117
Co_30_1_T_4;1545;1.25018;140;225;99
Co_30_1_T_5;2888;1.2502;230;213;183
Co_30_1_T_6;1592;1.2502;157;115;182
Co_30_1_T_7;1394;1.25018;135;102;116
Co_30_1_T_8;2012;1.25033;261;305;97
Co_30_1_T_9;1820;1.25026;331;75;126
Co_30_1_TL_0;1524;1.25023;185;104;71
Co_30_1_TT_0;816;1.25018;81;50;48
Co_30_20_NT_0;719;1.25083;505;41;44
Co_30_20_NT_1;901;1.25093;490;90;75
Co_30_20_NT_2;872;1.25064;489;52;93
Co_30_20_NT_3;457;1.25242;185;76;40
Co_30_20_NT_4;706;1.25078;214;50;127
Co_30_20_NT_5;827;1.25076;470;21;105
Co_30_20_NT_6;437;1.25078;285;16;40
Co_30_20_NT_7;984;1.25072;502;2;84
Co_30_20_NT_8;937;1.25081;211;35;217
Co_30_20_NT_9;1132;1.25079;536;48;136
Co_30_20_T_0;719;1.25076;433;32;74
Co_30_20_T_1;895;1.25078;669;44;46
Co_30_20_T_2;872;1.25077;417;175;35
Co_30_20_T_3;457;1.25082;202;45;55
Co_30_20_T_4;721;1.2508;339;34;96
Co_30_20_T_5;827;1.25072;379;59;110
Co_30_20_T_6;437;1.25071;279;19;40
Co_30_20_T_7;991;1.25083;385;59;85
Co_30_20_T_8;933;1.25072;426;43;140
Co_30_20_T_9;1143;1.25077;444;121;118
Co_30_20_TL_0;1736;1.25075;392;137;0
Co_30_20_TT_0;1005;1.25073;104;25;88
Co_100_1_NT_0;4453;1.25027;554;393;419
Co_100_1_NT_1;4530;1.25029;530;337;396
Co_100_1_NT_2;4267;1.25157;593;432;268
Co_100_1_NT_3;4088;1.25033;589;289;395
Co_100_1_NT_4;5270;1.25043;760;439;402
Co_100_1_NT_5;3811;1.25027;519;279;325
Co_100_1_NT_6;4455;1.25039;841;325;329
Co_100_1_NT_7;4832;1.25031;575;344;404
Co_100_1_NT_8;4790;1.25045;423;399;483
Co_100_1_NT_9;6493;1.25035;824;610;406
Co_100_1_T_0;4276;1.25034;496;331;480
Co_100_1_T_1;4815;1.25027;444;325;433
Co_100_1_T_2;4636;1.25031;374;454;326
Co_100_1_T_3;4691;1.25031;551;408;328
Co_100_1_T_4;5350;1.25036;631;369;493
Co_100_1_T_5;3919;1.25027;492;300;319
Co_100_1_T_6;4764;1.25027;691;320;383
Co_100_1_T_7;5215;1.25035;528;385;392
Co_100_1_T_8;5012;1.25041;387;332;539
Co_100_1_T_9;6730;1.25035;965;441;471
Co_100_1_TL_0;9318;1.25031;823;444;141
Co_100_1_TT_0;4760;1.25036;424;124;190
Co_100_20_NT_0;3625;1.25634;1324;321;345
Co_100_20_NT_1;3203;1.25506;2027;221;231
Co_100_20_NT_2;2196;1.25457;1270;238;150
Co_100_20_NT_3;2182;1.25538;1000;184;240
Co_100_20_NT_4;2168;1.25443;1289;255;123
Co_100_20_NT_5;2614;1.25551;1475;287;170
Co_100_20_NT_6;2015;1.25439;1018;146;216
Co_100_20_NT_7;2481;1.25429;1150;193;309
Co_100_20_NT_8;3027;1.25501;1740;213;287
Co_100_20_NT_9;2551;1.25458;1572;114;250
Co_100_20_T_0;3662;1.25454;1463;268;334
Co_100_20_T_1;3164;1.25491;1951;208;265
Co_100_20_T_2;2207;1.25435;1140;249;186
Co_100_20_T_3;2195;1.25436;908;170;280
Co_100_20_T_4;2172;1.2544;1235;219;165
Co_100_20_T_5;2610;1.25506;1642;193;177
Co_100_20_T_6;2005;1.25423;1039;155;203
Co_100_20_T_7;2486;1.25425;1304;257;215
Co_100_20_T_8;3032;1.25448;1631;236;308
Co_100_20_T_9;2551;1.2544;1371;231;239
Co_100_20_TL_0;4180;1.25578;1530;355;1
Co_100_20_TT_0;2536;1.25528;515;54;264
Co_300_20_NT_0;7369;1.29306;3810;741;562
Co_300_20_NT_1;7035;1.29125;3706;581;654
Co_300_20_NT_2;7656;1.29518;4223;441;742
Co_300_20_NT_3;7165;1.29798;3571;693;714
Co_300_20_NT_4;8037;1.29795;4934;502;642
Co_300_20_NT_5;6318;1.28707;3312;552;563
Co_300_20_NT_6;6998;1.2945;4086;521;621
Co_300_20_NT_7;6381;1.29569;3877;471;516
Co_300_20_NT_8;7019;1.29748;3871;578;644
Co_300_20_NT_9;7183;1.28753;4232;570;603
Co_300_20_NT_10;8101;1.29103;4802;550;676
Co_300_20_NT_11;7638;1.29534;4067;669;704
Co_300_20_NT_12;8193;1.29926;4499;599;721
Co_300_20_NT_13;7580;1.28891;4363;619;618
Co_300_20_NT_14;7681;1.30123;4335;618;532
Co_300_20_NT_15;8546;1.29983;5030;540;655
Co_300_20_NT_16;7129;1.29779;2966;660;946
Co_300_20_NT_17;7191;1.29615;3737;692;649
Co_300_20_NT_18;8074;1.29363;4562;696;635
Co_300_20_NT_19;7556;1.29128;3914;646;704
Co_300_20_T_0;7384;1.30792;3969;492;675
Co_300_20_T_1;7045;1.28962;3581;507;745
Co_300_20_T_2;7677;1.29249;3973;548;754
Co_300_20_T_3;7174;1.28967;3546;596;787
Co_300_20_T_4;8055;1.29351;4006;456;982
Co_300_20_T_5;6353;1.29414;2324;554;891
Co_300_20_T_6;6992;1.29524;3549;533;792
Co_300_20_T_7;6387;1.30957;3145;538;715
Co_300_20_T_8;7024;1.28804;3168;661;823
Co_300_20_T_9;7183;1.29744;3427;572;870
Co_300_20_T_10;8102;1.29261;4590;521;766
Co_300_20_T_11;7659;1.28988;3540;730;839
Co_300_20_T_12;8223;1.30326;4461;702;665
Co_300_20_T_13;7600;1.2998;3761;515;888
Co_300_20_T_14;7647;1.29174;3949;553;704
Co_300_20_T_15;8590;1.29967;4777;692;638
Co_300_20_T_16;7140;1.29036;3431;780;711
Co_300_20_T_17;7227;1.28207;3312;522;904
Co_300_20_T_18;8047;1.28843;3893;612;914
Co_300_20_T_19;7505;1.29607;3561;767;741
