Co_30_1_ST_0;23751;4.7503;56;63;64
Co_30_20_ST_0;19205;4.75073;56;63;64
Co_100_1_ST_0;46297;4.75035;217;219;209
Co_100_20_ST_0;50439;4.75555;219;216;209
Co_300_20_ST_0;74072;4.80188;653;647;598
